,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0,2.3426443762565143,0.9804207785482122,0.6286915777505825,-0.15300460733182963,-0.9747912944099681,-0.049612971993837296,1.0523926586667653,-1.3272444830248964
1,2.3301248132578407,-0.6100270624611965,0.3273313323677152,-0.26252333126585126,0.8608118368427378,-0.09247290351579145,1.0430357745229097,-1.3222502061572532
2,1.7809473439043086,1.855167091103387,1.1554766637335263,-0.048320209402734585,-0.8211621723137821,-0.025889828431248374,1.0383573324509836,-1.3322387598925327
3,0.931773791435528,1.855167091103387,0.1573450945094754,-0.04913632565788979,-0.7664207609921526,-0.050344784955351836,1.0383573324509836,-1.337233036760176
4,-0.013453214964243815,1.855167091103387,0.34499152388895366,-0.03221845626048763,-0.7602402790687428,-0.08558539352138228,1.0383573324509836,-1.337233036760176
5,0.08680849543688973,1.855167091103387,-0.2691272635951228,0.015330938485067915,-0.894445029405641,-0.08958285173434126,1.0383573324509836,-1.337233036760176
6,-0.11187381315969008,1.855167091103387,-0.20035132593921037,-0.30579726658501893,-0.2931724308567748,-0.09068789653568635,1.0336788903790575,-1.337233036760176
7,-0.3954576960413847,1.855167091103387,-0.2546371268117387,-0.07283220436397864,-0.23754809354608675,-0.1233969110292112,1.0336788903790575,-1.337233036760176
8,-0.9423206243363388,1.0599431705986826,-0.45800124777272244,0.04489946967138016,-0.19428472008221825,-0.1004494970578653,1.0336788903790575,-1.342227313627819
9,-0.09498818407324537,1.855167091103387,-0.18472497144796207,-0.22389561998969548,0.11032474614297824,-0.08646990159253651,1.0336788903790575,-1.337233036760176
10,-0.3517444319577846,1.855167091103387,0.02009923306540445,-0.035337870525955745,-0.4556308128435463,-0.0776796374551479,1.0383573324509836,-1.342227313627819
11,-0.3162898711968381,1.855167091103387,-0.2647556496940002,-0.15149954155446552,0.06882722465722683,-0.09831901296212696,1.0383573324509836,-1.342227313627819
12,-0.41912913868593343,1.855167091103387,-0.04250147646735026,-0.17618051531613194,-0.28964072690054066,-0.06974908709643401,1.0383573324509836,-1.342227313627819
13,-0.6302784070753089,1.855167091103387,-0.5768170200878355,0.0028333946315829825,-0.9544839966616218,-0.10469325306617616,1.0336788903790575,-1.342227313627819
14,-1.0284320723566196,1.855167091103387,-0.47061105070551995,-0.18280932340626546,-0.188987164147867,-0.10737803793924583,1.0383573324509836,-1.342227313627819
15,-0.9188595945152971,1.6961223070024463,-0.47888401987659085,-0.05143443484001929,-0.6436940485130155,-0.04147820564209249,1.0383573324509836,-1.342227313627819
