Prediction,Target,Diff,AbsError
15.05360802723799,0.83,14.22360802723799,14.22360802723799
-1.0367403646891393,5.00001,-6.036750364689139,6.036750364689139
7.227420741005897,1.313,5.914420741005897,5.914420741005897
0.13228801308179206,5.00001,-4.867721986918207,4.867721986918207
6.0453782977520625,1.25,4.7953782977520625,4.7953782977520625
5.317953562404252,0.675,4.642953562404252,4.642953562404252
0.6577707165364,5.00001,-4.342239283463599,4.342239283463599
5.159812308493743,1.125,4.034812308493743,4.034812308493743
1.007127058401252,5.00001,-3.9928829415987477,3.9928829415987477
1.1123723209692606,5.00001,-3.887637679030739,3.887637679030739
1.2702537682378625,5.00001,-3.729756231762137,3.729756231762137
1.2818093027453572,5.00001,-3.7182006972546424,3.7182006972546424
1.296076678106003,5.00001,-3.703933321893997,3.703933321893997
1.3409514836460523,5.00001,-3.659058516353947,3.659058516353947
5.865961040067328,2.25,3.6159610400673277,3.6159610400673277
1.396142501277661,5.00001,-3.6038674987223387,3.6038674987223387
-1.963167728320768,1.625,-3.588167728320768,3.588167728320768
1.422739683141507,5.00001,-3.5772703168584927,3.5772703168584927
1.466769214255728,5.00001,-3.5332407857442716,3.5332407857442716
1.5238628180519416,5.0,-3.4761371819480584,3.4761371819480584
1.0968016529556863,4.5,-3.403198347044314,3.403198347044314
4.518013546436637,1.125,3.393013546436637,3.393013546436637
1.6137575790751189,5.00001,-3.3862524209248805,3.3862524209248805
1.6294681648557292,5.00001,-3.3705418351442704,3.3705418351442704
4.243828332203719,0.875,3.3688283322037194,3.3688283322037194
1.6782682664200956,5.0,-3.321731733579904,3.321731733579904
1.6839981603947605,5.00001,-3.316011839605239,3.316011839605239
1.4571067933557296,4.75,-3.2928932066442704,3.2928932066442704
1.7083544907896298,5.00001,-3.29165550921037,3.29165550921037
0.8937541449436797,4.167,-3.27324585505632,3.27324585505632
1.7273905105284304,5.00001,-3.272619489471569,3.272619489471569
1.7282663947019803,5.00001,-3.2717436052980196,3.2717436052980196
1.7300572353024952,5.00001,-3.2699527646975044,3.2699527646975044
1.230995694924338,4.5,-3.2690043050756623,3.2690043050756623
1.7314503875527045,5.00001,-3.2685596124472953,3.2685596124472953
1.7421351382613266,5.00001,-3.257874861738673,3.257874861738673
1.7467891307042778,5.00001,-3.253220869295722,3.253220869295722
1.7537703917329057,5.0,-3.246229608267094,3.246229608267094
1.7678699022296582,5.00001,-3.2321400977703414,3.2321400977703414
1.5271756749738994,4.75,-3.2228243250261004,3.2228243250261004
1.7798879817176205,5.00001,-3.220122018282379,3.220122018282379
1.796438697467865,5.00001,-3.2035713025321346,3.2035713025321346
1.309773818329176,4.5,-3.190226181670824,3.190226181670824
1.8354479664181453,5.0,-3.1645520335818547,3.1645520335818547
1.8741184359952372,5.00001,-3.125891564004762,3.125891564004762
5.907500732432914,2.81,3.097500732432914,3.097500732432914
1.9070927310993186,5.00001,-3.092917268900681,3.092917268900681
0.6808714891193972,3.75,-3.069128510880603,3.069128510880603
1.9633824262650788,5.00001,-3.036627573734921,3.036627573734921
